path	line	column	category	pattern
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	102	21	before-state	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	124	33	negative-requirement	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	137	145	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	138	86	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	138	207	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	138	303	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	140	246	immutable-evidence	crates/sandbox-operations/runtime
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	142	142	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	165	55	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	166	21	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	167	4	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	167	48	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	168	34	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	169	23	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	205	8	negative-requirement	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	205	21	negative-requirement	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	205	29	negative-requirement	ArgCliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	205	32	negative-requirement	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	218	68	immutable-evidence	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	218	82	immutable-evidence	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	218	91	immutable-evidence	ArgCliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	218	94	immutable-evidence	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	228	65	immutable-evidence	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	228	79	immutable-evidence	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	228	88	immutable-evidence	ArgCliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	228	91	immutable-evidence	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	262	41	before-state	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	263	28	before-state	internal::migration
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	289	4	before-state	internal::migration
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	301	262	immutable-evidence	migration_resolver
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	326	27	before-state	internal::migration
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	342	12	negative-requirement	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	350	34	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	364	216	immutable-evidence	crates/sandbox-cli/src/core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	366	469	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	369	49	immutable-evidence	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	370	53	immutable-evidence	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	372	199	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	385	25	before-state	cli_definition
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	413	12	negative-requirement	cli_definition
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	431	53	immutable-evidence	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	431	155	immutable-evidence	cli_definition
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	436	234	immutable-evidence	internal::migration
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	530	49	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	533	4	negative-requirement	internal::migration
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	547	12	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	569	402	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	571	104	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	595	4	negative-requirement	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	612	44	negative-requirement	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	614	8	negative-requirement	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	614	35	negative-requirement	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	614	62	negative-requirement	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	614	95	negative-requirement	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	614	113	negative-requirement	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	628	116	immutable-evidence	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	628	144	immutable-evidence	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	628	172	immutable-evidence	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	628	206	immutable-evidence	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	628	225	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	628	315	immutable-evidence	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	630	241	immutable-evidence	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	630	269	immutable-evidence	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	630	297	immutable-evidence	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	630	331	immutable-evidence	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	630	350	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	630	440	immutable-evidence	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	630	479	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	634	71	immutable-evidence	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	634	99	immutable-evidence	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	634	127	immutable-evidence	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	634	161	immutable-evidence	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	634	180	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	634	270	immutable-evidence	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	634	309	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	635	56	immutable-evidence	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	635	84	immutable-evidence	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	635	112	immutable-evidence	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	635	146	immutable-evidence	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	635	165	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	635	255	immutable-evidence	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	635	294	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	635	1273	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	62	immutable-evidence	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	90	immutable-evidence	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	118	immutable-evidence	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	152	immutable-evidence	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	171	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	261	immutable-evidence	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	300	immutable-evidence	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	396	immutable-evidence	view=snapshot
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	411	immutable-evidence	view-generic
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	425	immutable-evidence	private daemon snapshot
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	637	450	immutable-evidence	operation vocabulary + sandbox-protocol
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	639	78	immutable-evidence	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	639	106	immutable-evidence	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	639	134	immutable-evidence	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	639	168	immutable-evidence	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	639	187	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	721	84	immutable-evidence	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	721	208	immutable-evidence	internal/migration
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	721	230	immutable-evidence	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/phase-plan.md	721	267	immutable-evidence	crates/sandbox-cli/src/core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	42	4	before-state	crates/sandbox-operation-core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	42	39	before-state	crates/sandbox-operation-adapters
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	93	128	before-state	operation vocabulary + sandbox-protocol
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	97	4	before-state	crates/sandbox-cli/src/core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	98	4	before-state	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	102	5	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	105	27	before-state	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	108	5	before-state	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	194	42	before-state	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	514	4	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	515	4	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	516	4	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	517	4	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	518	4	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	519	4	before-state	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	525	2	before-state	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	525	13	before-state	ArgCliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	525	16	before-state	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	542	4	before-state	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	542	34	before-state	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	542	64	before-state	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	730	12	before-state	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	731	29	before-state	internal::migration
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	739	24	before-state	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	749	21	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	777	44	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	810	4	before-state	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	810	41	before-state	cli_definition
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	818	4	before-state	crates/sandbox-cli/src/core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	825	8	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	826	38	before-state	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	919	4	before-state	internal::migration
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	968	21	before-state	cli_definition
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1027	11	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1045	39	negative-requirement	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1055	42	negative-requirement	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1087	52	before-state	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1089	4	before-state	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1089	236	before-state	cli_definition
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1092	4	before-state	crates/sandbox-cli/src/core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1092	110	before-state	crates/sandbox-manager/src/operation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1092	223	before-state	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1111	7	negative-requirement	crates/sandbox-operation-core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1112	4	negative-requirement	crates/sandbox-operation-adapters
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1120	7	negative-requirement	cli-operation-e2e-live-test
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1122	21	negative-requirement	sandbox-manager-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1123	4	negative-requirement	sandbox-runtime-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1123	37	negative-requirement	sandbox-observability-operations
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1125	21	negative-requirement	sandbox-manager-operation-catalog
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1126	4	negative-requirement	sandbox-runtime-operation-catalog
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1127	4	negative-requirement	sandbox-observability-operation-catalog
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1129	17	negative-requirement	sandbox_cli::core
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1131	36	negative-requirement	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1131	47	negative-requirement	ArgCliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1131	50	negative-requirement	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1132	4	negative-requirement	CliOperation
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1132	37	negative-requirement	cli_definition
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1132	54	negative-requirement	cli_metadata
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1154	34	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1329	57	negative-requirement	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1376	144	before-state	get_observability
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1378	152	before-state	CliSpec
docs/obsidian/ephemeral-os/implementation_plan/operation-migration/spec.md	1381	11	negative-requirement	get_observability
